Date,Open,High,Low,Close,Momentum,Return,10 Day ROI,20 Day ROI,30 Day ROI,10_day_RSI,14_day_RSI,30_day_RSI,EMA_12,EMA_26,Class,MACD_12_26,SRSI_10,SRSI_14,SRSI_30,Williams,ATR_14,CCI
2011-01-03,1257.619995,1276.170044,1257.619995,1271.869995,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N
2011-01-04,1272.949951,1274.119995,1262.660034,1270.199951,N,-0.0013130618746926004,N,N,N,N,N,N,1271.613065153846,1271.7462880370372,1,-0.13322288319113795,N,N,N,N,N,N
2011-01-05,1268.780029,1277.630005,1265.359985,1276.560059,N,0.005007170717486353,N,N,N,N,N,N,1272.3741411301776,1272.1028636639232,0,0.27127746625433247,N,N,N,N,N,N
2011-01-06,1276.290039,1278.170044,1270.430054,1273.849976,N,-0.00212295769469939,N,N,N,N,N,N,1272.601192648612,1272.2322793925216,0,0.368913256090309,N,N,N,N,N,N
2011-01-07,1274.410034,1276.829956,1261.699951,1271.5,N,-0.0018447823874668812,N,N,N,N,N,N,1272.4317783949791,1272.178036474557,0,0.25374192042204413,N,N,N,N,N,N
2011-01-10,1270.839966,1271.52002,1262.180054,1269.75,-2.119995000000017,-0.001376327172630698,N,N,N,N,N,N,1272.0191971034437,1271.9981819208863,0,0.021015182557448497,N,N,N,N,N,N
2011-01-11,1272.579956,1277.25,1269.619995,1274.47998,4.280029000000013,0.003725126993502803,N,N,N,N,N,N,1272.3977790875294,1272.1820188156355,1,0.21576027189394154,N,N,N,N,N,N
2011-01-12,1275.650024,1286.869995,1275.650024,1285.959961,9.399902000000111,0.009007580487847333,N,N,N,N,N,N,1274.4842686125248,1273.2026071255884,0,1.2816614869364003,N,N,N,N,N,N
2011-01-13,1285.780029,1286.699951,1280.469971,1283.76001,9.910033999999996,-0.0017107461093028853,N,N,N,N,N,N,1275.9113057490595,1273.9846369681375,1,1.9266687809220002,N,N,N,N,N,N
2011-01-14,1282.900024,1293.23999,1281.23999,1293.23999,21.739990000000034,0.007384542224523782,N,N,N,N,N,N,1278.577257172281,1275.410959414942,0,3.1662977573389526,N,N,N,N,N,N
2011-01-18,1293.219971,1296.060059,1290.160034,1295.02002,25.27001999999993,0.0013764111949552404,0.018201565483113635,N,N,76.00534242393752,N,N,1281.1069129919301,1276.8634824212427,0,4.243430570687451,0,N,N,N,N,N
2011-01-19,1294.52002,1294.599976,1278.920044,1281.920044,7.440063999999893,-0.010115655200450102,0.00922696697537497,N,N,60.475580427015906,N,N,1281.2320100700947,1277.2380425381878,0,3.9939675319069465,0,N,N,N,N,N
2011-01-20,1280.849976,1283.349976,1271.26001,1280.26001,-5.6999510000000555,-0.0012949590793667198,0.0028983759705739436,N,N,53.61041339761366,N,N,1281.0824715977726,1277.4618919798036,0,3.6205796179690424,-0.4420651797988334,N,N,N,N,N
